id,label,org_country,continent,org_conviction
gesamtverband des deutschen steinkohlenbergbaus,gesamtverband des deutschen steinkohlenbergbaus,germany,europe,unconvinced of agw
alliance for climate protection,alliance for climate protection,usa,north america,convinced of agw
world federation of scientists,world federation of scientists,italy,europe,unconvinced of agw
ciima-eseade,ciima-eseade,argentina,south america,unconvinced of agw
christian broadcasting network,christian broadcasting network,usa,north america,unconvinced of agw
american real science institute,american real science institute,usa,north america,unconvinced of agw
tsaugust,tsaugust,usa,north america,unconvinced of agw
arbeitsgemeinschaft energie und umwelt nrw,arbeitsgemeinschaft energie und umwelt nrw,germany,europe,unconvinced of agw
uk climate impacts programme,uk climate impacts programme,uk,europe,convinced of agw
australian tea party,australian tea party,australia,oceania,unconvinced of agw
we are change holland,we are change holland,netherlands,europe,unconvinced of agw
wereld natuurbestrijdingsfonds,wereld natuurbestrijdingsfonds,netherlands,europe,
calouste gulbenkian foundation,calouste gulbenkian foundation,portugal,europe,
verenigde optimistische conservatieven 2100,verenigde optimistische conservatieven 2100,netherlands,europe,unconvinced of agw
balanced education for everyone,balanced education for everyone,unknown,unknown,unconvinced of agw
center for family and human rights,center for family and human rights,usa,north america,unconvinced of agw
united states environmental protection agency,united states environmental protection agency,usa,north america,convinced of agw
wikileaks,wikileaks,global,global,
association of american physicians and surgeons,association of american physicians and surgeons,usa,north america,
argo-verlag,argo-verlag,germany,europe,unconvinced of agw
arbeitskreis energie der deutschen physikalischen gesellschaft,arbeitskreis energie der deutschen physikalischen gesellschaft,germany,europe,
annapolis institute,annapolis institute,usa,north america,unconvinced of agw
the lord monckton foundation,the lord monckton foundation,australia,oceania,unconvinced of agw
office of medical and scientific justice,office of medical and scientific justice,usa,north america,unconvinced of agw
comino foundation,comino foundation,uk,europe,unconvinced of agw
let freedom ring,let freedom ring,unknown,unknown,unconvinced of agw
sauvons le climat,sauvons le climat,france,europe,convinced of agw
rundfunk berlin-brandenburg,rundfunk berlin-brandenburg,germany,europe,
inter region economic network,inter region economic network,kenya,africa,
international association of meteorology and atmospheric sciences,international association of meteorology and atmospheric sciences,global,global,
liberty institute - india,liberty institute - india,india,asia,unconvinced of agw
the james partnership,the james partnership,unknown,unknown,unconvinced of agw
liberty university,liberty university,usa,north america,unconvinced of agw
lm group,lm group,uk,europe,unconvinced of agw
manhattan libertarian party,manhattan libertarian party,usa,north america,unconvinced of agw
power for usa,power for usa,usa,north america,unconvinced of agw
minnesota family council,minnesota family council,usa,north america,unconvinced of agw
minnesota majority,minnesota majority,usa,north america,unconvinced of agw
nestle,nestle,switzerland,europe,
industrial wind action group,industrial wind action group,usa,north america,
scottish climate energy forum,scottish climate energy forum,uk,europe,
hubbard broadcasting,hubbard broadcasting,usa,north america,unconvinced of agw
haus der zukunft berlin e.v.,haus der zukunft berlin e.v.,germany,europe,unconvinced of agw
the hawthorn group,the hawthorn group,usa,north america,unconvinced of agw
corporate research project,corporate research project,global,global,convinced of agw
die bandbreite,die bandbreite,germany,europe,
the climate community,the climate community,usa,north america,convinced of agw
energy citizens,energy citizens,unknown,unknown,unconvinced of agw
epa abuse,epa abuse,unknown,unknown,unconvinced of agw
no carbon tax,no carbon tax,unknown,unknown,unconvinced of agw
stairway press,stairway press,usa,north america,unconvinced of agw
freedom foundation of minnesota,freedom foundation of minnesota,usa,north america,unconvinced of agw
gegenwind - für eine industriefreie nordsee e.v.,gegenwind - für eine industriefreie nordsee e.v.,germany,europe,unconvinced of agw
gegenwind schleswig-holstein,gegenwind schleswig-holstein,germany,europe,unconvinced of agw
accuracy in academia,accuracy in academia,usa,north america,unconvinced of agw
