source,target,Typ,label,org_conviction_1,org_country_1,org_continent_1,org_conviction_2,org_country_2,org_continent_2,international,intercontinental
ludwig von mises institute,sound science in public policy,Undirected,floy lilley,unconvinced of agw,usa,north america,unconvinced of agw,unknown,unknown,TRUE,TRUE
sovereignty international,american council on science and health,Undirected,floy lilley,unconvinced of agw,usa,north america,unconvinced of agw,usa,north america,FALSE,FALSE
sovereignty international,sound science in public policy,Undirected,floy lilley,unconvinced of agw,usa,north america,unconvinced of agw,unknown,unknown,TRUE,TRUE
american council on science and health,sound science in public policy,Undirected,floy lilley,unconvinced of agw,usa,north america,unconvinced of agw,unknown,unknown,TRUE,TRUE
council for national policy,the american conservative union foundation,Undirected,floyd brown,unconvinced of agw,usa,north america,unconvinced of agw,usa,north america,FALSE,FALSE
institute of economic affairs,economic policy centre,Undirected,forrest capie,unconvinced of agw,uk,europe,,uk,europe,FALSE,FALSE
philadelphia society,russell kirk center for cultural renewal,Undirected,forrest mcdonald,unconvinced of agw,usa,north america,,usa,north america,FALSE,FALSE
istituto bruno leoni,magna carta foundation,Undirected,francesco valli,unconvinced of agw,italy,europe,,uk,europe,TRUE,FALSE
clexit,independent committee on geoethics,Undirected,franco maranzana,unconvinced of agw,usa,north america,unconvinced of agw,uk,europe,TRUE,TRUE
ludwig von mises institute,arise,Undirected,frank,unconvinced of agw,usa,north america,,usa,north america,FALSE,FALSE
ludwig von mises institute,wir,Undirected,frank,unconvinced of agw,usa,north america,unconvinced of agw,germany,europe,TRUE,TRUE
ludwig von mises institute,murray rothbard instituut,Undirected,frank,unconvinced of agw,usa,north america,unconvinced of agw,belgium,europe,TRUE,TRUE
ludwig von mises institute,ludwig von mises institute europe,Undirected,frank,unconvinced of agw,usa,north america,,belgium,europe,TRUE,TRUE
ludwig von mises institute,frederic bastiat stichting,Undirected,frank,unconvinced of agw,usa,north america,,netherlands,europe,TRUE,TRUE
ludwig von mises institute,tno,Undirected,frank,unconvinced of agw,usa,north america,,netherlands,europe,TRUE,TRUE
arise,wir,Undirected,frank,,usa,north america,unconvinced of agw,germany,europe,TRUE,TRUE
arise,murray rothbard instituut,Undirected,frank,,usa,north america,unconvinced of agw,belgium,europe,TRUE,TRUE
arise,ludwig von mises institute europe,Undirected,frank,,usa,north america,,belgium,europe,TRUE,TRUE
arise,frederic bastiat stichting,Undirected,frank,,usa,north america,,netherlands,europe,TRUE,TRUE
arise,tno,Undirected,frank,,usa,north america,,netherlands,europe,TRUE,TRUE
wir,murray rothbard instituut,Undirected,frank,unconvinced of agw,germany,europe,unconvinced of agw,belgium,europe,TRUE,FALSE
wir,ludwig von mises institute europe,Undirected,frank,unconvinced of agw,germany,europe,,belgium,europe,TRUE,FALSE
wir,frederic bastiat stichting,Undirected,frank,unconvinced of agw,germany,europe,,netherlands,europe,TRUE,FALSE
wir,tno,Undirected,frank,unconvinced of agw,germany,europe,,netherlands,europe,TRUE,FALSE
murray rothbard instituut,ludwig von mises institute europe,Undirected,frank,unconvinced of agw,belgium,europe,,belgium,europe,FALSE,FALSE
murray rothbard instituut,frederic bastiat stichting,Undirected,frank,unconvinced of agw,belgium,europe,,netherlands,europe,TRUE,FALSE
murray rothbard instituut,tno,Undirected,frank,unconvinced of agw,belgium,europe,,netherlands,europe,TRUE,FALSE
ludwig von mises institute europe,frederic bastiat stichting,Undirected,frank,,belgium,europe,,netherlands,europe,TRUE,FALSE
ludwig von mises institute europe,tno,Undirected,frank,,belgium,europe,,netherlands,europe,TRUE,FALSE
frederic bastiat stichting,tno,Undirected,frank,,netherlands,europe,,netherlands,europe,FALSE,FALSE
clare boothe luce policy institute,young americas foundation,Undirected,frank donatelli,unconvinced of agw,usa,north america,,usa,north america,FALSE,FALSE
center for security policy,doctors for disaster preparedness,Undirected,frank gaffney,unconvinced of agw,usa,north america,unconvinced of agw,usa,north america,FALSE,FALSE
antibuerokratieteam.net,libertäre plattform,Undirected,frank schäffler,unconvinced of agw,germany,europe,unconvinced of agw,germany,europe,FALSE,FALSE
antibuerokratieteam.net,initiative neue soziale marktwirtschaft,Undirected,frank schäffler,unconvinced of agw,germany,europe,,germany,europe,FALSE,FALSE
libertäre plattform,initiative neue soziale marktwirtschaft,Undirected,frank schäffler,unconvinced of agw,germany,europe,,germany,europe,FALSE,FALSE
libera!,mont pelerin society,Undirected,frank van dun,,belgium,europe,,global,global,TRUE,TRUE
libera!,res publica,Undirected,frans crols,,belgium,europe,,belgium,europe,FALSE,FALSE
austrian economics center,hayek institut,Undirected,franz wohlfahrt,unconvinced of agw,austria,europe,unconvinced of agw,austria,europe,FALSE,FALSE
americans for prosperity,foundation for economic education,Undirected,frayda levy,unconvinced of agw,usa,north america,unconvinced of agw,usa,north america,FALSE,FALSE
southern economic association,tobacco institute,Undirected,fred s. mcchesney,,usa,north america,,usa,north america,FALSE,FALSE
the galileo movement,"weidenbaum center on the economy, government, and public policy",Undirected,fred singer,unconvinced of agw,australia,oceania,unconvinced of agw,usa,north america,TRUE,TRUE
consumer alert,institut turgot,Undirected,fred smith,unconvinced of agw,usa,north america,unconvinced of agw,france,europe,TRUE,TRUE
environmental literacy council,independent commission on environmental education,Undirected,frederick seitz,unconvinced of agw,usa,north america,unconvinced of agw,usa,north america,FALSE,FALSE
friedrich august von hayek stiftung,ludwig von mises institute europe,Undirected,frits bolkestein,,germany,europe,,belgium,europe,TRUE,FALSE
john birch society,freedom first society,Undirected,g. vance smith,unconvinced of agw,usa,north america,unconvinced of agw,usa,north america,FALSE,FALSE
association of private enterprise education,institut economique molinari,Undirected,gabriel calzada,,usa,north america,,france,europe,TRUE,TRUE
scholars for 9/11 truth,committee on taxation and economic growth,Undirected,gary anderson,,usa,north america,,usa,north america,FALSE,FALSE
american environmental coalition,council for national policy,Undirected,gary bauer,unconvinced of agw,usa,north america,unconvinced of agw,usa,north america,FALSE,FALSE
western economic association international,mont pelerin society,Undirected,gary becker,,usa,north america,,global,global,TRUE,TRUE
property and environment research center,western economic association international,Undirected,gary d. libecap,unconvinced of agw,usa,north america,,usa,north america,FALSE,FALSE
american environmental coalition,council for national policy,Undirected,gary jarmin,unconvinced of agw,usa,north america,unconvinced of agw,usa,north america,FALSE,FALSE
council for national policy,ludwig von mises institute,Undirected,gary north,unconvinced of agw,usa,north america,unconvinced of agw,usa,north america,FALSE,FALSE
american environmental coalition,alabama policy institute,Undirected,gary palmer,unconvinced of agw,usa,north america,unconvinced of agw,usa,north america,FALSE,FALSE
minnesota state cattlements association,ecipe,Undirected,gary sampson,,usa,north america,,belgium,europe,TRUE,TRUE
kansas policy institute,americans future foundation,Undirected,gene meyer,unconvinced of agw,usa,north america,,usa,north america,FALSE,FALSE
discovery institute,doctors for disaster preparedness,Undirected,george gilder,unconvinced of agw,usa,north america,unconvinced of agw,usa,north america,FALSE,FALSE
philadelphia society,russell kirk center for cultural renewal,Undirected,george h. nash,unconvinced of agw,usa,north america,,usa,north america,FALSE,FALSE
environmental literacy council,foundation for research on economics and the environment,Undirected,george m. gray,unconvinced of agw,usa,north america,unconvinced of agw,usa,north america,FALSE,FALSE
environmental literacy council,independent commission on environmental education,Undirected,george m. gray,unconvinced of agw,usa,north america,unconvinced of agw,usa,north america,FALSE,FALSE
foundation for research on economics and the environment,independent commission on environmental education,Undirected,george m. gray,unconvinced of agw,usa,north america,unconvinced of agw,usa,north america,FALSE,FALSE
campaign against climate change,climate outreach information network,Undirected,george marshall,convinced of agw,uk,europe,convinced of agw,uk,europe,FALSE,FALSE
campaign against climate change,spinwatch,Undirected,george monbiot,convinced of agw,uk,europe,convinced of agw,europe,europe,TRUE,FALSE
american council for capital formation,international council for capital formation,Undirected,george p. shultz,unconvinced of agw,usa,north america,unconvinced of agw,usa,north america,FALSE,FALSE
american council for capital formation,niskanen center,Undirected,george p. shultz,unconvinced of agw,usa,north america,convinced of agw,usa,north america,FALSE,FALSE
international council for capital formation,niskanen center,Undirected,george p. shultz,unconvinced of agw,usa,north america,convinced of agw,usa,north america,FALSE,FALSE
goldwater institute,ludwig von mises institute,Undirected,george reisman,unconvinced of agw,usa,north america,unconvinced of agw,usa,north america,FALSE,FALSE
american tradition institute,the energy environment legal institute,Undirected,george taylor,unconvinced of agw,usa,north america,,usa,north america,FALSE,FALSE
center for security policy,citizens for a sound economy,Undirected,george w. bush,unconvinced of agw,usa,north america,unconvinced of agw,usa,north america,FALSE,FALSE
bruges group,europe of freedom democracy,Undirected,gerard batten,unconvinced of agw,uk,europe,,europe,europe,TRUE,FALSE
ludwig von mises institute,friedrich a. von hayek-gesellschaft e. v.,Undirected,gerd habermann,unconvinced of agw,usa,north america,unconvinced of agw,germany,europe,TRUE,TRUE
ludwig von mises institute,ludwig von mises institute europe,Undirected,gerd habermann,unconvinced of agw,usa,north america,,belgium,europe,TRUE,TRUE
friedrich a. von hayek-gesellschaft e. v.,ludwig von mises institute europe,Undirected,gerd habermann,unconvinced of agw,germany,europe,,belgium,europe,TRUE,FALSE
europa-union,alternative für deutschland,Undirected,gerd robanus,unconvinced of agw,germany,europe,,germany,europe,FALSE,FALSE
gesamtverband des deutschen steinkohlenbergbaus,sound science in public policy,Undirected,gerd-rainer weber,unconvinced of agw,germany,europe,unconvinced of agw,unknown,unknown,TRUE,TRUE
friedrich a. von hayek-gesellschaft e. v.,hayek institut,Undirected,gerhard schwarz,unconvinced of agw,germany,europe,unconvinced of agw,austria,europe,TRUE,FALSE
friedrich a. von hayek-gesellschaft e. v.,mont pelerin society,Undirected,gerhard schwarz,unconvinced of agw,germany,europe,,global,global,TRUE,TRUE
hayek institut,mont pelerin society,Undirected,gerhard schwarz,unconvinced of agw,austria,europe,,global,global,TRUE,TRUE
eike,europa-union,Undirected,gerhard stehlik,unconvinced of agw,germany,europe,unconvinced of agw,germany,europe,FALSE,FALSE
eike,bürgerinitiative für europa,Undirected,gerhard stehlik,unconvinced of agw,germany,europe,,germany,europe,FALSE,FALSE
europa-union,bürgerinitiative für europa,Undirected,gerhard stehlik,unconvinced of agw,germany,europe,,germany,europe,FALSE,FALSE
association of private enterprise education,liberty fund,Undirected,giancarlo ibárgüen s.,,usa,north america,,usa,north america,FALSE,FALSE
murray rothbard instituut,libera!,Undirected,gilles verstraeten,unconvinced of agw,belgium,europe,,belgium,europe,FALSE,FALSE
european alliance for freedom,europe of freedom democracy,Undirected,godfrey bloom,unconvinced of agw,uk,europe,,europe,europe,TRUE,FALSE
goldwater institute,institute for policy innovation,Undirected,gordon tullock,unconvinced of agw,usa,north america,unconvinced of agw,usa,north america,FALSE,FALSE
goldwater institute,public interest institute,Undirected,gordon tullock,unconvinced of agw,usa,north america,unconvinced of agw,usa,north america,FALSE,FALSE
goldwater institute,association of private enterprise education,Undirected,gordon tullock,unconvinced of agw,usa,north america,,usa,north america,FALSE,FALSE
goldwater institute,john locke institute,Undirected,gordon tullock,unconvinced of agw,usa,north america,,usa,north america,FALSE,FALSE
goldwater institute,western economic association international,Undirected,gordon tullock,unconvinced of agw,usa,north america,,usa,north america,FALSE,FALSE
goldwater institute,institute of economic affairs,Undirected,gordon tullock,unconvinced of agw,usa,north america,unconvinced of agw,uk,europe,TRUE,TRUE
institute for policy innovation,public interest institute,Undirected,gordon tullock,unconvinced of agw,usa,north america,unconvinced of agw,usa,north america,FALSE,FALSE
institute for policy innovation,association of private enterprise education,Undirected,gordon tullock,unconvinced of agw,usa,north america,,usa,north america,FALSE,FALSE
institute for policy innovation,john locke institute,Undirected,gordon tullock,unconvinced of agw,usa,north america,,usa,north america,FALSE,FALSE
institute for policy innovation,western economic association international,Undirected,gordon tullock,unconvinced of agw,usa,north america,,usa,north america,FALSE,FALSE
institute for policy innovation,institute of economic affairs,Undirected,gordon tullock,unconvinced of agw,usa,north america,unconvinced of agw,uk,europe,TRUE,TRUE
public interest institute,association of private enterprise education,Undirected,gordon tullock,unconvinced of agw,usa,north america,,usa,north america,FALSE,FALSE
public interest institute,john locke institute,Undirected,gordon tullock,unconvinced of agw,usa,north america,,usa,north america,FALSE,FALSE
public interest institute,western economic association international,Undirected,gordon tullock,unconvinced of agw,usa,north america,,usa,north america,FALSE,FALSE
public interest institute,institute of economic affairs,Undirected,gordon tullock,unconvinced of agw,usa,north america,unconvinced of agw,uk,europe,TRUE,TRUE
association of private enterprise education,john locke institute,Undirected,gordon tullock,,usa,north america,,usa,north america,FALSE,FALSE
association of private enterprise education,western economic association international,Undirected,gordon tullock,,usa,north america,,usa,north america,FALSE,FALSE
association of private enterprise education,institute of economic affairs,Undirected,gordon tullock,,usa,north america,unconvinced of agw,uk,europe,TRUE,TRUE
john locke institute,western economic association international,Undirected,gordon tullock,,usa,north america,,usa,north america,FALSE,FALSE
john locke institute,institute of economic affairs,Undirected,gordon tullock,,usa,north america,unconvinced of agw,uk,europe,TRUE,TRUE
western economic association international,institute of economic affairs,Undirected,gordon tullock,,usa,north america,unconvinced of agw,uk,europe,TRUE,TRUE
american tradition institute,the energy environment legal institute,Undirected,greg walcher,unconvinced of agw,usa,north america,,usa,north america,FALSE,FALSE
institute for economic studies,economic thinking,Undirected,gregory rehmke,unconvinced of agw,france,europe,unconvinced of agw,unknown,unknown,TRUE,TRUE
american environmental coalition,americans for tax reform,Undirected,grover norquist,unconvinced of agw,usa,north america,unconvinced of agw,usa,north america,FALSE,FALSE
american environmental coalition,council for national policy,Undirected,grover norquist,unconvinced of agw,usa,north america,unconvinced of agw,usa,north america,FALSE,FALSE
american environmental coalition,hispanic leadership fund,Undirected,grover norquist,unconvinced of agw,usa,north america,unconvinced of agw,usa,north america,FALSE,FALSE
american environmental coalition,niskanen center,Undirected,grover norquist,unconvinced of agw,usa,north america,convinced of agw,usa,north america,FALSE,FALSE
american environmental coalition,americans future foundation,Undirected,grover norquist,unconvinced of agw,usa,north america,,usa,north america,FALSE,FALSE
americans for tax reform,council for national policy,Undirected,grover norquist,unconvinced of agw,usa,north america,unconvinced of agw,usa,north america,FALSE,FALSE
americans for tax reform,hispanic leadership fund,Undirected,grover norquist,unconvinced of agw,usa,north america,unconvinced of agw,usa,north america,FALSE,FALSE
americans for tax reform,niskanen center,Undirected,grover norquist,unconvinced of agw,usa,north america,convinced of agw,usa,north america,FALSE,FALSE
americans for tax reform,americans future foundation,Undirected,grover norquist,unconvinced of agw,usa,north america,,usa,north america,FALSE,FALSE
council for national policy,hispanic leadership fund,Undirected,grover norquist,unconvinced of agw,usa,north america,unconvinced of agw,usa,north america,FALSE,FALSE
council for national policy,niskanen center,Undirected,grover norquist,unconvinced of agw,usa,north america,convinced of agw,usa,north america,FALSE,FALSE
council for national policy,americans future foundation,Undirected,grover norquist,unconvinced of agw,usa,north america,,usa,north america,FALSE,FALSE
hispanic leadership fund,niskanen center,Undirected,grover norquist,unconvinced of agw,usa,north america,convinced of agw,usa,north america,FALSE,FALSE
hispanic leadership fund,americans future foundation,Undirected,grover norquist,unconvinced of agw,usa,north america,,usa,north america,FALSE,FALSE
niskanen center,americans future foundation,Undirected,grover norquist,convinced of agw,usa,north america,,usa,north america,FALSE,FALSE
the property and freedom society,liberales institut,Undirected,guido hülsmann,unconvinced of agw,usa,north america,unconvinced of agw,switzerland,europe,TRUE,TRUE
the property and freedom society,murray rothbard instituut,Undirected,guido hülsmann,unconvinced of agw,usa,north america,unconvinced of agw,belgium,europe,TRUE,TRUE
liberales institut,murray rothbard instituut,Undirected,guido hülsmann,unconvinced of agw,switzerland,europe,unconvinced of agw,belgium,europe,TRUE,FALSE
european ideas network,european enterprise institute,Undirected,gunnar hökmark,,belgium,europe,unconvinced of agw,europe,europe,TRUE,FALSE
american petroleum institute,institute for the study of earth and man,Undirected,h. leighton steward,unconvinced of agw,usa,north america,unconvinced of agw,usa,north america,FALSE,FALSE
american petroleum institute,the right climate stuff,Undirected,h. leighton steward,unconvinced of agw,usa,north america,unconvinced of agw,usa,north america,FALSE,FALSE
institute for the study of earth and man,the right climate stuff,Undirected,h. leighton steward,unconvinced of agw,usa,north america,unconvinced of agw,usa,north america,FALSE,FALSE
friedrich-naumann-stiftung für die freiheit,initiative neue soziale marktwirtschaft,Undirected,hans d. barbier,unconvinced of agw,germany,europe,,germany,europe,FALSE,FALSE
clexit,clingendael institute,Undirected,hans h.j. labohm,unconvinced of agw,usa,north america,,netherlands,europe,TRUE,TRUE
clexit,eike,Undirected,hans jelbring,unconvinced of agw,usa,north america,unconvinced of agw,germany,europe,TRUE,TRUE
stichting meer vrijheid,eike,Undirected,hans labohm,unconvinced of agw,netherlands,europe,unconvinced of agw,germany,europe,TRUE,FALSE
stichting meer vrijheid,frederic bastiat stichting,Undirected,hans labohm,unconvinced of agw,netherlands,europe,,netherlands,europe,FALSE,FALSE
eike,frederic bastiat stichting,Undirected,hans labohm,unconvinced of agw,germany,europe,,netherlands,europe,TRUE,FALSE
tobacco industry research committee,wirtschaftsclub nordoberpfalz,Undirected,hans meier,,usa,north america,unconvinced of agw,germany,europe,TRUE,TRUE
friedrich august von hayek stiftung,initiative neue soziale marktwirtschaft,Undirected,hans tietmeyer,,germany,europe,,germany,europe,FALSE,FALSE
the property and freedom society,frederic bastiat stichting,Undirected,hans-hermann hoppe,unconvinced of agw,usa,north america,,netherlands,europe,TRUE,TRUE
bundesverband der deutschen industrie,alternative für deutschland,Undirected,hans-olaf henkel,,germany,europe,,germany,europe,FALSE,FALSE
instituto de libre empresa,ludwig von mises institute,Undirected,hardy bouillon,unconvinced of agw,peru,south america,unconvinced of agw,usa,north america,TRUE,TRUE
instituto de libre empresa,the cobden centre,Undirected,hardy bouillon,unconvinced of agw,peru,south america,unconvinced of agw,uk,europe,TRUE,TRUE
instituto de libre empresa,berlin manhattan institut für unternehmerische freiheit e.v.,Undirected,hardy bouillon,unconvinced of agw,peru,south america,unconvinced of agw,germany,europe,TRUE,TRUE
instituto de libre empresa,institut constant de rebecque,Undirected,hardy bouillon,unconvinced of agw,peru,south america,,switzerland,europe,TRUE,TRUE
instituto de libre empresa,ludwig von mises institute europe,Undirected,hardy bouillon,unconvinced of agw,peru,south america,,belgium,europe,TRUE,TRUE
instituto de libre empresa,institut economique molinari,Undirected,hardy bouillon,unconvinced of agw,peru,south america,,france,europe,TRUE,TRUE
instituto de libre empresa,mont pelerin society,Undirected,hardy bouillon,unconvinced of agw,peru,south america,,global,global,TRUE,TRUE
ludwig von mises institute,the cobden centre,Undirected,hardy bouillon,unconvinced of agw,usa,north america,unconvinced of agw,uk,europe,TRUE,TRUE
ludwig von mises institute,berlin manhattan institut für unternehmerische freiheit e.v.,Undirected,hardy bouillon,unconvinced of agw,usa,north america,unconvinced of agw,germany,europe,TRUE,TRUE
ludwig von mises institute,institut constant de rebecque,Undirected,hardy bouillon,unconvinced of agw,usa,north america,,switzerland,europe,TRUE,TRUE
ludwig von mises institute,ludwig von mises institute europe,Undirected,hardy bouillon,unconvinced of agw,usa,north america,,belgium,europe,TRUE,TRUE
ludwig von mises institute,institut economique molinari,Undirected,hardy bouillon,unconvinced of agw,usa,north america,,france,europe,TRUE,TRUE
ludwig von mises institute,mont pelerin society,Undirected,hardy bouillon,unconvinced of agw,usa,north america,,global,global,TRUE,TRUE
the cobden centre,berlin manhattan institut für unternehmerische freiheit e.v.,Undirected,hardy bouillon,unconvinced of agw,uk,europe,unconvinced of agw,germany,europe,TRUE,FALSE
the cobden centre,institut constant de rebecque,Undirected,hardy bouillon,unconvinced of agw,uk,europe,,switzerland,europe,TRUE,FALSE
the cobden centre,ludwig von mises institute europe,Undirected,hardy bouillon,unconvinced of agw,uk,europe,,belgium,europe,TRUE,FALSE
the cobden centre,institut economique molinari,Undirected,hardy bouillon,unconvinced of agw,uk,europe,,france,europe,TRUE,FALSE
the cobden centre,mont pelerin society,Undirected,hardy bouillon,unconvinced of agw,uk,europe,,global,global,TRUE,TRUE
berlin manhattan institut für unternehmerische freiheit e.v.,institut constant de rebecque,Undirected,hardy bouillon,unconvinced of agw,germany,europe,,switzerland,europe,TRUE,FALSE
berlin manhattan institut für unternehmerische freiheit e.v.,ludwig von mises institute europe,Undirected,hardy bouillon,unconvinced of agw,germany,europe,,belgium,europe,TRUE,FALSE
berlin manhattan institut für unternehmerische freiheit e.v.,institut economique molinari,Undirected,hardy bouillon,unconvinced of agw,germany,europe,,france,europe,TRUE,FALSE
berlin manhattan institut für unternehmerische freiheit e.v.,mont pelerin society,Undirected,hardy bouillon,unconvinced of agw,germany,europe,,global,global,TRUE,TRUE
institut constant de rebecque,ludwig von mises institute europe,Undirected,hardy bouillon,,switzerland,europe,,belgium,europe,TRUE,FALSE
institut constant de rebecque,institut economique molinari,Undirected,hardy bouillon,,switzerland,europe,,france,europe,TRUE,FALSE
institut constant de rebecque,mont pelerin society,Undirected,hardy bouillon,,switzerland,europe,,global,global,TRUE,TRUE
ludwig von mises institute europe,institut economique molinari,Undirected,hardy bouillon,,belgium,europe,,france,europe,TRUE,FALSE
ludwig von mises institute europe,mont pelerin society,Undirected,hardy bouillon,,belgium,europe,,global,global,TRUE,TRUE
institut economique molinari,mont pelerin society,Undirected,hardy bouillon,,france,europe,,global,global,TRUE,TRUE
john locke institute,western economic association international,Undirected,harold demsetz,,usa,north america,,usa,north america,FALSE,FALSE
liberales institut,institut constant de rebecque,Undirected,harris dellas,unconvinced of agw,switzerland,europe,,switzerland,europe,FALSE,FALSE
claremont institute,national association of scholars,Undirected,harry v. jaffa,unconvinced of agw,usa,north america,unconvinced of agw,usa,north america,FALSE,FALSE
claremont institute,philadelphia society,Undirected,harry v. jaffa,unconvinced of agw,usa,north america,unconvinced of agw,usa,north america,FALSE,FALSE
national association of scholars,philadelphia society,Undirected,harry v. jaffa,unconvinced of agw,usa,north america,unconvinced of agw,usa,north america,FALSE,FALSE
center of the american experiment,manhattan institute for policy research,Undirected,heather mac donald,unconvinced of agw,usa,north america,unconvinced of agw,usa,north america,FALSE,FALSE
center for medicine in the public interest,stockholm network,Undirected,helen disney,unconvinced of agw,usa,north america,unconvinced of agw,sweden,europe,TRUE,TRUE
center for medicine in the public interest,civitas,Undirected,helen disney,unconvinced of agw,usa,north america,,uk,europe,TRUE,TRUE
stockholm network,civitas,Undirected,helen disney,unconvinced of agw,sweden,europe,,uk,europe,TRUE,FALSE
instituto de libre empresa,libertarian international,Undirected,henri lepage,unconvinced of agw,peru,south america,unconvinced of agw,usa,north america,TRUE,TRUE
instituto de libre empresa,ludwig von mises institute,Undirected,henri lepage,unconvinced of agw,peru,south america,unconvinced of agw,usa,north america,TRUE,TRUE
instituto de libre empresa,the global warming policy foundation,Undirected,henri lepage,unconvinced of agw,peru,south america,unconvinced of agw,uk,europe,TRUE,TRUE
instituto de libre empresa,eurolibnetwork,Undirected,henri lepage,unconvinced of agw,peru,south america,unconvinced of agw,sweden,europe,TRUE,TRUE
instituto de libre empresa,institut turgot,Undirected,henri lepage,unconvinced of agw,peru,south america,unconvinced of agw,france,europe,TRUE,TRUE
instituto de libre empresa,la main invisible,Undirected,henri lepage,unconvinced of agw,peru,south america,unconvinced of agw,france,europe,TRUE,TRUE
instituto de libre empresa,institut hayek,Undirected,henri lepage,unconvinced of agw,peru,south america,unconvinced of agw,belgium,europe,TRUE,TRUE
instituto de libre empresa,association pour la liberta conomique et le progress social,Undirected,henri lepage,unconvinced of agw,peru,south america,,france,europe,TRUE,TRUE
instituto de libre empresa,mont pelerin society,Undirected,henri lepage,unconvinced of agw,peru,south america,,global,global,TRUE,TRUE
libertarian international,ludwig von mises institute,Undirected,henri lepage,unconvinced of agw,usa,north america,unconvinced of agw,usa,north america,FALSE,FALSE
libertarian international,the global warming policy foundation,Undirected,henri lepage,unconvinced of agw,usa,north america,unconvinced of agw,uk,europe,TRUE,TRUE
libertarian international,eurolibnetwork,Undirected,henri lepage,unconvinced of agw,usa,north america,unconvinced of agw,sweden,europe,TRUE,TRUE
libertarian international,institut turgot,Undirected,henri lepage,unconvinced of agw,usa,north america,unconvinced of agw,france,europe,TRUE,TRUE
libertarian international,la main invisible,Undirected,henri lepage,unconvinced of agw,usa,north america,unconvinced of agw,france,europe,TRUE,TRUE
libertarian international,institut hayek,Undirected,henri lepage,unconvinced of agw,usa,north america,unconvinced of agw,belgium,europe,TRUE,TRUE
libertarian international,association pour la liberta conomique et le progress social,Undirected,henri lepage,unconvinced of agw,usa,north america,,france,europe,TRUE,TRUE
libertarian international,mont pelerin society,Undirected,henri lepage,unconvinced of agw,usa,north america,,global,global,TRUE,TRUE
ludwig von mises institute,the global warming policy foundation,Undirected,henri lepage,unconvinced of agw,usa,north america,unconvinced of agw,uk,europe,TRUE,TRUE
ludwig von mises institute,eurolibnetwork,Undirected,henri lepage,unconvinced of agw,usa,north america,unconvinced of agw,sweden,europe,TRUE,TRUE
ludwig von mises institute,institut turgot,Undirected,henri lepage,unconvinced of agw,usa,north america,unconvinced of agw,france,europe,TRUE,TRUE
ludwig von mises institute,la main invisible,Undirected,henri lepage,unconvinced of agw,usa,north america,unconvinced of agw,france,europe,TRUE,TRUE
ludwig von mises institute,institut hayek,Undirected,henri lepage,unconvinced of agw,usa,north america,unconvinced of agw,belgium,europe,TRUE,TRUE
ludwig von mises institute,association pour la liberta conomique et le progress social,Undirected,henri lepage,unconvinced of agw,usa,north america,,france,europe,TRUE,TRUE
ludwig von mises institute,mont pelerin society,Undirected,henri lepage,unconvinced of agw,usa,north america,,global,global,TRUE,TRUE
the global warming policy foundation,eurolibnetwork,Undirected,henri lepage,unconvinced of agw,uk,europe,unconvinced of agw,sweden,europe,TRUE,FALSE
the global warming policy foundation,institut turgot,Undirected,henri lepage,unconvinced of agw,uk,europe,unconvinced of agw,france,europe,TRUE,FALSE
the global warming policy foundation,la main invisible,Undirected,henri lepage,unconvinced of agw,uk,europe,unconvinced of agw,france,europe,TRUE,FALSE
the global warming policy foundation,institut hayek,Undirected,henri lepage,unconvinced of agw,uk,europe,unconvinced of agw,belgium,europe,TRUE,FALSE
the global warming policy foundation,association pour la liberta conomique et le progress social,Undirected,henri lepage,unconvinced of agw,uk,europe,,france,europe,TRUE,FALSE
the global warming policy foundation,mont pelerin society,Undirected,henri lepage,unconvinced of agw,uk,europe,,global,global,TRUE,TRUE
eurolibnetwork,institut turgot,Undirected,henri lepage,unconvinced of agw,sweden,europe,unconvinced of agw,france,europe,TRUE,FALSE
eurolibnetwork,la main invisible,Undirected,henri lepage,unconvinced of agw,sweden,europe,unconvinced of agw,france,europe,TRUE,FALSE
eurolibnetwork,institut hayek,Undirected,henri lepage,unconvinced of agw,sweden,europe,unconvinced of agw,belgium,europe,TRUE,FALSE
eurolibnetwork,association pour la liberta conomique et le progress social,Undirected,henri lepage,unconvinced of agw,sweden,europe,,france,europe,TRUE,FALSE
eurolibnetwork,mont pelerin society,Undirected,henri lepage,unconvinced of agw,sweden,europe,,global,global,TRUE,TRUE
institut turgot,la main invisible,Undirected,henri lepage,unconvinced of agw,france,europe,unconvinced of agw,france,europe,FALSE,FALSE
institut turgot,institut hayek,Undirected,henri lepage,unconvinced of agw,france,europe,unconvinced of agw,belgium,europe,TRUE,FALSE
institut turgot,association pour la liberta conomique et le progress social,Undirected,henri lepage,unconvinced of agw,france,europe,,france,europe,FALSE,FALSE
institut turgot,mont pelerin society,Undirected,henri lepage,unconvinced of agw,france,europe,,global,global,TRUE,TRUE
la main invisible,institut hayek,Undirected,henri lepage,unconvinced of agw,france,europe,unconvinced of agw,belgium,europe,TRUE,FALSE
la main invisible,association pour la liberta conomique et le progress social,Undirected,henri lepage,unconvinced of agw,france,europe,,france,europe,FALSE,FALSE
la main invisible,mont pelerin society,Undirected,henri lepage,unconvinced of agw,france,europe,,global,global,TRUE,TRUE
institut hayek,association pour la liberta conomique et le progress social,Undirected,henri lepage,unconvinced of agw,belgium,europe,,france,europe,TRUE,FALSE
