person;organisation;wiki_page;cat_agw_opinion;cat_occupation;cat_relgion_opinion;cat_topic;Page_Link
Claude Henry;;own_page;convinced of agw;;;;http://ttnr.qprf.de/ccs_mediawiki28/index.php?title=Claude_Henry
Jeff Id;;own_page;unconvinced of agw;;;;http://ttnr.qprf.de/ccs_mediawiki28/index.php?title=Jeff_Id
Eugene Linden;;own_page;convinced of agw;;;;http://ttnr.qprf.de/ccs_mediawiki28/index.php?title=Eugene_Linden
John Mashey;;own_page;convinced of agw;;;;http://ttnr.qprf.de/ccs_mediawiki28/index.php?title=John_Mashey
Jeff Mirus;;own_page;unconvinced of agw;;;;http://ttnr.qprf.de/ccs_mediawiki28/index.php?title=Jeff_Mirus
Rich Puchalsky;;own_page;convinced of agw;;;;http://ttnr.qprf.de/ccs_mediawiki28/index.php?title=Rich_Puchalsky
Martin Rodger;;own_page;convinced of agw;;;;http://ttnr.qprf.de/ccs_mediawiki28/index.php?title=Martin_Rodger
Arthur P. Smith;;own_page;convinced of agw;;;;http://ttnr.qprf.de/ccs_mediawiki28/index.php?title=Arthur_P._Smith
Max S. Strozier;;own_page;unconvinced of agw;;;;http://ttnr.qprf.de/ccs_mediawiki28/index.php?title=Max_S._Strozier
Anastasios A. Tsonis;;own_page;;mathematicians;;;http://ttnr.qprf.de/ccs_mediawiki28/index.php?title=Anastasios_A._Tsonis
Brian Bolduc;;own_page;unconvinced of agw;;;;http://ttnr.qprf.de/ccs_mediawiki28/index.php?title=Brian_Bolduc
Matthias G. Bumann;;own_page;unconvinced of agw;;;;http://ttnr.qprf.de/ccs_mediawiki28/index.php?title=Matthias_G._Bumann
Barry Coates;;own_page;convinced of agw;;;;http://ttnr.qprf.de/ccs_mediawiki28/index.php?title=Barry_Coates
Nikolaas de Jong;;own_page;unconvinced of agw;;;;http://ttnr.qprf.de/ccs_mediawiki28/index.php?title=Nikolaas_de_Jong
Georg Feulner;;own_page;;climate scientists;;;http://ttnr.qprf.de/ccs_mediawiki28/index.php?title=Georg_Feulner
Andrew Gelman;;own_page;convinced of agw;;;;http://ttnr.qprf.de/ccs_mediawiki28/index.php?title=Andrew_Gelman
Dennis Ambler;;own_page;unconvinced of agw;;;;http://ttnr.qprf.de/ccs_mediawiki28/index.php?title=Dennis_Ambler
Markus Gronotte;;own_page;unconvinced of agw;;;;http://ttnr.qprf.de/ccs_mediawiki28/index.php?title=Markus_Gronotte
Jacques Henry;;own_page;unconvinced of agw;;;;http://ttnr.qprf.de/ccs_mediawiki28/index.php?title=Jacques_Henry
Anita Idel;;own_page;convinced of agw;;;;http://ttnr.qprf.de/ccs_mediawiki28/index.php?title=Anita_Idel
Jyrki Kauppinen;;own_page;unconvinced of agw;;;;http://ttnr.qprf.de/ccs_mediawiki28/index.php?title=Jyrki_Kauppinen
Henry R. Linden;;own_page;unconvinced of agw;;;;http://ttnr.qprf.de/ccs_mediawiki28/index.php?title=Henry_R._Linden
Galina Mashnich;;own_page;unconvinced of agw;;;;http://ttnr.qprf.de/ccs_mediawiki28/index.php?title=Galina_Mashnich
Ferenc Mark Miskolczi;;own_page;unconvinced of agw;;;;http://ttnr.qprf.de/ccs_mediawiki28/index.php?title=Ferenc_Mark_Miskolczi
Nancy Nicol;;own_page;unconvinced of agw;;;;http://ttnr.qprf.de/ccs_mediawiki28/index.php?title=Nancy_Nicol
Brandon Patty;;own_page;unconvinced of agw;;;;http://ttnr.qprf.de/ccs_mediawiki28/index.php?title=Brandon_Patty
Henry H. Bauer;;own_page;unconvinced of agw;;;;http://ttnr.qprf.de/ccs_mediawiki28/index.php?title=Henry_H._Bauer
J̟rgen Pucks;;own_page;unconvinced of agw;;;;http://ttnr.qprf.de/ccs_mediawiki28/index.php?title=J%C3%BCrgen_Pucks
Alex Stuart;;own_page;unconvinced of agw;;;;http://ttnr.qprf.de/ccs_mediawiki28/index.php?title=Alex_Stuart
Atsushi Tsuchida;;own_page;unconvinced of agw;;;;http://ttnr.qprf.de/ccs_mediawiki28/index.php?title=Atsushi_Tsuchida
Ulf B̟ntgen;;own_page;;climate scientists;;;http://ttnr.qprf.de/ccs_mediawiki28/index.php?title=Ulf_B%C3%BCntgen
Stan de Jong;;own_page;unconvinced of agw;;;;http://ttnr.qprf.de/ccs_mediawiki28/index.php?title=Stan_de_Jong
Charles Gelman;;own_page;unconvinced of agw;;;;http://ttnr.qprf.de/ccs_mediawiki28/index.php?title=Charles_Gelman
Norbert Hensel;;own_page;unconvinced of agw;;;;http://ttnr.qprf.de/ccs_mediawiki28/index.php?title=Norbert_Hensel
Craig D. Idso;;own_page;unconvinced of agw;;;;http://ttnr.qprf.de/ccs_mediawiki28/index.php?title=Craig_D._Idso
Volker Kay;;own_page;unconvinced of agw;;;;http://ttnr.qprf.de/ccs_mediawiki28/index.php?title=Volker_Kay
George Kukla;;own_page;unconvinced of agw;;;;http://ttnr.qprf.de/ccs_mediawiki28/index.php?title=George_Kukla
John Linder;;own_page;unconvinced of agw;;;;http://ttnr.qprf.de/ccs_mediawiki28/index.php?title=John_Linder
Wieslaw Maslowski;;own_page;;climate scientists;;;http://ttnr.qprf.de/ccs_mediawiki28/index.php?title=Wieslaw_Maslowski
Chris Mitchell;;own_page;unconvinced of agw;;;;http://ttnr.qprf.de/ccs_mediawiki28/index.php?title=Chris_Mitchell
Anand Patwardhan;;own_page;;scientists;;;http://ttnr.qprf.de/ccs_mediawiki28/index.php?title=Anand_Patwardhan
James E. Baugh;;own_page;unconvinced of agw;;;;http://ttnr.qprf.de/ccs_mediawiki28/index.php?title=James_E._Baugh
Dick Puddlecote;;own_page;unconvinced of agw;;;;http://ttnr.qprf.de/ccs_mediawiki28/index.php?title=Dick_Puddlecote
Jose Rodr̟guez;;own_page;convinced of agw;;;;http://ttnr.qprf.de/ccs_mediawiki28/index.php?title=Jose_Rodr%C3%ADguez
Christoph Schmidt-Krayer;;own_page;unconvinced of agw;;;;http://ttnr.qprf.de/ccs_mediawiki28/index.php?title=Christoph_Schmidt-Krayer
Danielle Smith;;own_page;unconvinced of agw;;;;http://ttnr.qprf.de/ccs_mediawiki28/index.php?title=Danielle_Smith
Heiner Studt;;own_page;unconvinced of agw;;;;http://ttnr.qprf.de/ccs_mediawiki28/index.php?title=Heiner_Studt
Brian Edward Tucholke;;own_page;unconvinced of agw;;;;http://ttnr.qprf.de/ccs_mediawiki28/index.php?title=Brian_Edward_Tucholke
Gerd B̟rger;;own_page;unconvinced of agw;;;;http://ttnr.qprf.de/ccs_mediawiki28/index.php?title=Gerd_B%C3%BCrger
Joe Cobb;;own_page;unconvinced of agw;;;;http://ttnr.qprf.de/ccs_mediawiki28/index.php?title=Joe_Cobb
Fred De Keyser;;own_page;unconvinced of agw;;;;http://ttnr.qprf.de/ccs_mediawiki28/index.php?title=Fred_De_Keyser
Bill Dunn;;own_page;unconvinced of agw;;;;http://ttnr.qprf.de/ccs_mediawiki28/index.php?title=Bill_Dunn
Thierry Fichefet;;own_page;convinced of agw;;;;http://ttnr.qprf.de/ccs_mediawiki28/index.php?title=Thierry_Fichefet
Agnes Genevey;;own_page;unconvinced of agw;;;;http://ttnr.qprf.de/ccs_mediawiki28/index.php?title=Agnes_Genevey
Sven Ambrosy;;own_page;convinced of agw;;;;http://ttnr.qprf.de/ccs_mediawiki28/index.php?title=Sven_Ambrosy
Keith E. Idso;;own_page;unconvinced of agw;;;;http://ttnr.qprf.de/ccs_mediawiki28/index.php?title=Keith_E._Idso
Ulli Kulke;;own_page;unconvinced of agw;;;;http://ttnr.qprf.de/ccs_mediawiki28/index.php?title=Ulli_Kulke
James Lindgren;;own_page;unconvinced of agw;;;;http://ttnr.qprf.de/ccs_mediawiki28/index.php?title=James_Lindgren
John Mason;;own_page;unconvinced of agw;;;;http://ttnr.qprf.de/ccs_mediawiki28/index.php?title=John_Mason
Guillaume Nicoulaud;;own_page;unconvinced of agw;;;;http://ttnr.qprf.de/ccs_mediawiki28/index.php?title=Guillaume_Nicoulaud
Gernot Patzelt;;own_page;unconvinced of agw;;;;http://ttnr.qprf.de/ccs_mediawiki28/index.php?title=Gernot_Patzelt
Martin B̟umer;;own_page;unconvinced of agw;;;;http://ttnr.qprf.de/ccs_mediawiki28/index.php?title=Martin_B%C3%A4umer
Leon Puissegur;;own_page;unconvinced of agw;;;;http://ttnr.qprf.de/ccs_mediawiki28/index.php?title=Leon_Puissegur
Helen Roe;;own_page;unconvinced of agw;;;;http://ttnr.qprf.de/ccs_mediawiki28/index.php?title=Helen_Roe
Harrison Schmitt;;own_page;unconvinced of agw;;;;http://ttnr.qprf.de/ccs_mediawiki28/index.php?title=Harrison_Schmitt
E. M. Smith;;own_page;unconvinced of agw;;;;http://ttnr.qprf.de/ccs_mediawiki28/index.php?title=E._M._Smith
Peter Stuivenberg;;own_page;unconvinced of agw;;;;http://ttnr.qprf.de/ccs_mediawiki28/index.php?title=Peter_Stuivenberg
D. R. Tucker;;own_page;convinced of agw;;;;http://ttnr.qprf.de/ccs_mediawiki28/index.php?title=D._R._Tucker
Eric Bolling;;own_page;unconvinced of agw;;;;http://ttnr.qprf.de/ccs_mediawiki28/index.php?title=Eric_Bolling
Tom Coburn;;own_page;unconvinced of agw;;;;http://ttnr.qprf.de/ccs_mediawiki28/index.php?title=Tom_Coburn
A.T.J. de Laat;;own_page;unconvinced of agw;;;;http://ttnr.qprf.de/ccs_mediawiki28/index.php?title=A.T.J._de_Laat
John Dale Dunn;;own_page;unconvinced of agw;;;;http://ttnr.qprf.de/ccs_mediawiki28/index.php?title=John_Dale_Dunn
Tom Fiddaman;;own_page;convinced of agw;;;;http://ttnr.qprf.de/ccs_mediawiki28/index.php?title=Tom_Fiddaman
Norbert Geng;;own_page;unconvinced of agw;;;;http://ttnr.qprf.de/ccs_mediawiki28/index.php?title=Norbert_Geng
Simone Gro̙;;own_page;;climate scientists;;;http://ttnr.qprf.de/ccs_mediawiki28/index.php?title=Simone_Gro%C3%9F
Russ Hepler;;own_page;unconvinced of agw;;;;http://ttnr.qprf.de/ccs_mediawiki28/index.php?title=Russ_Hepler
Sherwood B. Idso;;own_page;unconvinced of agw;;;;http://ttnr.qprf.de/ccs_mediawiki28/index.php?title=Sherwood_B._Idso
Terence Kealey;;own_page;unconvinced of agw;;;;http://ttnr.qprf.de/ccs_mediawiki28/index.php?title=Terence_Kealey
John D. Lindl;;own_page;unconvinced of agw;;;;http://ttnr.qprf.de/ccs_mediawiki28/index.php?title=John_D._Lindl
Cliff Mass;;own_page;convinced of agw;;;;http://ttnr.qprf.de/ccs_mediawiki28/index.php?title=Cliff_Mass
David Mitchell;;own_page;convinced of agw;;;;http://ttnr.qprf.de/ccs_mediawiki28/index.php?title=David_Mitchell
Donald R. Nielsen;;own_page;unconvinced of agw;;;;http://ttnr.qprf.de/ccs_mediawiki28/index.php?title=Donald_R._Nielsen
David Paul;;own_page;unconvinced of agw;;;;http://ttnr.qprf.de/ccs_mediawiki28/index.php?title=David_Paul
John Baumgardner;;own_page;unconvinced of agw;;;;http://ttnr.qprf.de/ccs_mediawiki28/index.php?title=John_Baumgardner
Phil Roe;;own_page;unconvinced of agw;;;;http://ttnr.qprf.de/ccs_mediawiki28/index.php?title=Phil_Roe
Jerome J. Schmitt;;own_page;unconvinced of agw;;;;http://ttnr.qprf.de/ccs_mediawiki28/index.php?title=Jerome_J._Schmitt
Ruben Bolling;;own_page;convinced of agw;;;;http://ttnr.qprf.de/ccs_mediawiki28/index.php?title=Ruben_Bolling
Michael C. Burgess;;own_page;unconvinced of agw;;;;http://ttnr.qprf.de/ccs_mediawiki28/index.php?title=Michael_C._Burgess
Alexander Cockburn;;own_page;unconvinced of agw;;;;http://ttnr.qprf.de/ccs_mediawiki28/index.php?title=Alexander_Cockburn
Jos De Laat;;own_page;;climate scientists;;;http://ttnr.qprf.de/ccs_mediawiki28/index.php?title=Jos_De_Laat
Julian Dunraven;;own_page;unconvinced of agw;;;;http://ttnr.qprf.de/ccs_mediawiki28/index.php?title=Julian_Dunraven
Franz Fiedler;;own_page;unconvinced of agw;;;;http://ttnr.qprf.de/ccs_mediawiki28/index.php?title=Franz_Fiedler
Werner S. Genreith;;own_page;unconvinced of agw;;;;http://ttnr.qprf.de/ccs_mediawiki28/index.php?title=Werner_S._Genreith
Bruce N. Ames;;own_page;unconvinced of agw;;;;http://ttnr.qprf.de/ccs_mediawiki28/index.php?title=Bruce_N._Ames
Matthias Gro̙e;;own_page;unconvinced of agw;;;;http://ttnr.qprf.de/ccs_mediawiki28/index.php?title=Matthias_Gro%C3%9Fe
Friedrich Herberg;;own_page;unconvinced of agw;;;;http://ttnr.qprf.de/ccs_mediawiki28/index.php?title=Friedrich_Herberg
David Kear;;own_page;unconvinced of agw;;;;http://ttnr.qprf.de/ccs_mediawiki28/index.php?title=David_Kear
Leif Kullman;;own_page;unconvinced of agw;;;;http://ttnr.qprf.de/ccs_mediawiki28/index.php?title=Leif_Kullman
Warren Mass;;own_page;unconvinced of agw;;;;http://ttnr.qprf.de/ccs_mediawiki28/index.php?title=Warren_Mass
Dennis Mitchell;;own_page;unconvinced of agw;;;;http://ttnr.qprf.de/ccs_mediawiki28/index.php?title=Dennis_Mitchell
John Nielsen-Gammon;;own_page;;climate scientists;;;http://ttnr.qprf.de/ccs_mediawiki28/index.php?title=John_Nielsen-Gammon
Hartmut A. Paul;;own_page;unconvinced of agw;;;;http://ttnr.qprf.de/ccs_mediawiki28/index.php?title=Hartmut_A._Paul
Michael Patrick Schmitt;;own_page;unconvinced of agw;;;;http://ttnr.qprf.de/ccs_mediawiki28/index.php?title=Michael_Patrick_Schmitt
Fred L. Smith;;own_page;unconvinced of agw;;;;http://ttnr.qprf.de/ccs_mediawiki28/index.php?title=Fred_L._Smith
Michael Suede;;own_page;unconvinced of agw;;;;http://ttnr.qprf.de/ccs_mediawiki28/index.php?title=Michael_Suede
Tom Burgum;;own_page;unconvinced of agw;;;;http://ttnr.qprf.de/ccs_mediawiki28/index.php?title=Tom_Burgum
Adriaan J.P. de Lange;;own_page;unconvinced of agw;;;;http://ttnr.qprf.de/ccs_mediawiki28/index.php?title=Adriaan_J.P._de_Lange
Jean-Claude Duplessy;;own_page;;climate scientists;;;http://ttnr.qprf.de/ccs_mediawiki28/index.php?title=Jean-Claude_Duplessy
Christopher Field;;own_page;convinced of agw;;;;http://ttnr.qprf.de/ccs_mediawiki28/index.php?title=Christopher_Field
Phil Gentry;;own_page;unconvinced of agw;;;;http://ttnr.qprf.de/ccs_mediawiki28/index.php?title=Phil_Gentry
Bert Amesz;;own_page;unconvinced of agw;;;;http://ttnr.qprf.de/ccs_mediawiki28/index.php?title=Bert_Amesz
Andrei Illarionov;;own_page;unconvinced of agw;;;;http://ttnr.qprf.de/ccs_mediawiki28/index.php?title=Andrei_Illarionov
Geoffrey Kearsley;;own_page;unconvinced of agw;;;;http://ttnr.qprf.de/ccs_mediawiki28/index.php?title=Geoffrey_Kearsley
Kolli Rupa Kumar;;own_page;convinced of agw;;;;http://ttnr.qprf.de/ccs_mediawiki28/index.php?title=Kolli_Rupa_Kumar
Martin Lindner;;own_page;unconvinced of agw;;;;http://ttnr.qprf.de/ccs_mediawiki28/index.php?title=Martin_Lindner
Grant Mitchell;;own_page;convinced of agw;;;;http://ttnr.qprf.de/ccs_mediawiki28/index.php?title=Grant_Mitchell
Rand Paul;;own_page;unconvinced of agw;;;;http://ttnr.qprf.de/ccs_mediawiki28/index.php?title=Rand_Paul
Joachim Baurmeister;;own_page;unconvinced of agw;;;;http://ttnr.qprf.de/ccs_mediawiki28/index.php?title=Joachim_Baurmeister
Hans P̟schel;;own_page;unconvinced of agw;;;;http://ttnr.qprf.de/ccs_mediawiki28/index.php?title=Hans_P%C3%BCschel
Holger Roehlig;;own_page;unconvinced of agw;;;;http://ttnr.qprf.de/ccs_mediawiki28/index.php?title=Holger_Roehlig
Thorsten Schmitt;;own_page;unconvinced of agw;;;;http://ttnr.qprf.de/ccs_mediawiki28/index.php?title=Thorsten_Schmitt
George E. Smith;;own_page;unconvinced of agw;;;;http://ttnr.qprf.de/ccs_mediawiki28/index.php?title=George_E._Smith
Hans Eduard Suess;;own_page;;climate scientists;;;http://ttnr.qprf.de/ccs_mediawiki28/index.php?title=Hans_Eduard_Suess
Peter Tuin;;own_page;unconvinced of agw;;;;http://ttnr.qprf.de/ccs_mediawiki28/index.php?title=Peter_Tuin
W. Kline Bolton;;own_page;unconvinced of agw;;;;http://ttnr.qprf.de/ccs_mediawiki28/index.php?title=W._Kline_Bolton
Don Burke;;own_page;unconvinced of agw;;;;http://ttnr.qprf.de/ccs_mediawiki28/index.php?title=Don_Burke
Jerry L. Coffey;;own_page;unconvinced of agw;;;;http://ttnr.qprf.de/ccs_mediawiki28/index.php?title=Jerry_L._Coffey
Kees de Lange;;own_page;unconvinced of agw;;;;http://ttnr.qprf.de/ccs_mediawiki28/index.php?title=Kees_de_Lange
Steve Fielding;;own_page;unconvinced of agw;;;;http://ttnr.qprf.de/ccs_mediawiki28/index.php?title=Steve_Fielding
Garth George;;own_page;unconvinced of agw;;;;http://ttnr.qprf.de/ccs_mediawiki28/index.php?title=Garth_George
C̩dric Amey;;own_page;unconvinced of agw;;;;http://ttnr.qprf.de/ccs_mediawiki28/index.php?title=C%C3%A9dric_Amey
Glenn Grothman;;own_page;unconvinced of agw;;;;http://ttnr.qprf.de/ccs_mediawiki28/index.php?title=Glenn_Grothman
Philippe Herbosch;;own_page;unconvinced of agw;;;;http://ttnr.qprf.de/ccs_mediawiki28/index.php?title=Philippe_Herbosch
Irene Immink;;own_page;unconvinced of agw;;;;http://ttnr.qprf.de/ccs_mediawiki28/index.php?title=Irene_Immink
Christopher Keating;;own_page;convinced of agw;;;;http://ttnr.qprf.de/ccs_mediawiki28/index.php?title=Christopher_Keating
Joseph Kunc;;own_page;unconvinced of agw;;;;http://ttnr.qprf.de/ccs_mediawiki28/index.php?title=Joseph_Kunc
William Lindqvist;;own_page;unconvinced of agw;;;;http://ttnr.qprf.de/ccs_mediawiki28/index.php?title=William_Lindqvist
Francis Massen;;own_page;unconvinced of agw;;;;http://ttnr.qprf.de/ccs_mediawiki28/index.php?title=Francis_Massen
Bruce Bawyer;;own_page;unconvinced of agw;;;;http://ttnr.qprf.de/ccs_mediawiki28/index.php?title=Bruce_Bawyer
Vladimir Putin;;own_page;unconvinced of agw;;;;http://ttnr.qprf.de/ccs_mediawiki28/index.php?title=Vladimir_Putin
James Roehrborn;;own_page;unconvinced of agw;;;;http://ttnr.qprf.de/ccs_mediawiki28/index.php?title=James_Roehrborn
Andreas Schmittner;;own_page;;climate scientists;;;http://ttnr.qprf.de/ccs_mediawiki28/index.php?title=Andreas_Schmittner
Guy LeBlanc Smith;;own_page;unconvinced of agw;;;;http://ttnr.qprf.de/ccs_mediawiki28/index.php?title=Guy_LeBlanc_Smith
G̦ran Tullberg;;own_page;unconvinced of agw;;;;http://ttnr.qprf.de/ccs_mediawiki28/index.php?title=G%C3%B6ran_Tullberg
Norbert Bolz;;own_page;unconvinced of agw;;;;http://ttnr.qprf.de/ccs_mediawiki28/index.php?title=Norbert_Bolz
Donald S. Burke;;own_page;unconvinced of agw;;;;http://ttnr.qprf.de/ccs_mediawiki28/index.php?title=Donald_S._Burke
Edmond De Langhe;;own_page;unconvinced of agw;;;;http://ttnr.qprf.de/ccs_mediawiki28/index.php?title=Edmond_De_Langhe
Martin Durkin;;own_page;unconvinced of agw;;;;http://ttnr.qprf.de/ccs_mediawiki28/index.php?title=Martin_Durkin
Christiana Figueres;;own_page;convinced of agw;;;;http://ttnr.qprf.de/ccs_mediawiki28/index.php?title=Christiana_Figueres
Paul J. Georgia;;own_page;unconvinced of agw;;;;http://ttnr.qprf.de/ccs_mediawiki28/index.php?title=Paul_J._Georgia
Caspar Ammann;;own_page;;climate scientists;;;http://ttnr.qprf.de/ccs_mediawiki28/index.php?title=Caspar_Ammann
Shannon Grove;;own_page;unconvinced of agw;;;;http://ttnr.qprf.de/ccs_mediawiki28/index.php?title=Shannon_Grove
Chris Impens;;own_page;unconvinced of agw;;;;http://ttnr.qprf.de/ccs_mediawiki28/index.php?title=Chris_Impens
Martin Keeley;;own_page;unconvinced of agw;;;;http://ttnr.qprf.de/ccs_mediawiki28/index.php?title=Martin_Keeley
Joseph A. Kunc;;own_page;unconvinced of agw;;;;http://ttnr.qprf.de/ccs_mediawiki28/index.php?title=Joseph_A._Kunc
Thomas Massie;;own_page;unconvinced of agw;;;;http://ttnr.qprf.de/ccs_mediawiki28/index.php?title=Thomas_Massie
John F. B. Mitchell;;own_page;convinced of agw;;;;http://ttnr.qprf.de/ccs_mediawiki28/index.php?title=John_F._B._Mitchell
Kristian Niemietz;;own_page;unconvinced of agw;;;;http://ttnr.qprf.de/ccs_mediawiki28/index.php?title=Kristian_Niemietz
Paul7Kalkbrenner;;own_page;unconvinced of agw;;;;http://ttnr.qprf.de/ccs_mediawiki28/index.php?title=Paul7Kalkbrenner
Terry Putnam;;own_page;unconvinced of agw;;;;http://ttnr.qprf.de/ccs_mediawiki28/index.php?title=Terry_Putnam
David W. Schnare;;own_page;unconvinced of agw;;;;http://ttnr.qprf.de/ccs_mediawiki28/index.php?title=David_W._Schnare
Karl W. Smith;;own_page;convinced of agw;;;;http://ttnr.qprf.de/ccs_mediawiki28/index.php?title=Karl_W._Smith
Ralph Bombosch;;own_page;unconvinced of agw;;;;http://ttnr.qprf.de/ccs_mediawiki28/index.php?title=Ralph_Bombosch
Philippe de Larminat;;own_page;unconvinced of agw;;;;http://ttnr.qprf.de/ccs_mediawiki28/index.php?title=Philippe_de_Larminat
Bill Durodi̩;;own_page;;;;;http://ttnr.qprf.de/ccs_mediawiki28/index.php?title=Bill_Durodi%C3%A9
Bradley Fikes;;own_page;unconvinced of agw;;;;http://ttnr.qprf.de/ccs_mediawiki28/index.php?title=Bradley_Fikes
Teodoro Georgiadis;;own_page;unconvinced of agw;;;;http://ttnr.qprf.de/ccs_mediawiki28/index.php?title=Teodoro_Georgiadis
Arthur G. Anderson;;own_page;unconvinced of agw;;;;http://ttnr.qprf.de/ccs_mediawiki28/index.php?title=Arthur_G._Anderson
Alan Groves;;own_page;unconvinced of agw;;;;http://ttnr.qprf.de/ccs_mediawiki28/index.php?title=Alan_Groves
Eduard Herda;;own_page;unconvinced of agw;;;;http://ttnr.qprf.de/ccs_mediawiki28/index.php?title=Eduard_Herda
Bernard Ingham;;own_page;unconvinced of agw;;;;http://ttnr.qprf.de/ccs_mediawiki28/index.php?title=Bernard_Ingham
Charles David Keeling;;own_page;;scientists;;;http://ttnr.qprf.de/ccs_mediawiki28/index.php?title=Charles_David_Keeling
Lee Kundrat;;own_page;unconvinced of agw;;;;http://ttnr.qprf.de/ccs_mediawiki28/index.php?title=Lee_Kundrat
Richard Lindzen;;own_page;unconvinced of agw;;;;http://ttnr.qprf.de/ccs_mediawiki28/index.php?title=Richard_Lindzen
Tom Mitchell;;own_page;;scientists;;;http://ttnr.qprf.de/ccs_mediawiki28/index.php?title=Tom_Mitchell
Joost Niemoller;;own_page;unconvinced of agw;;;;http://ttnr.qprf.de/ccs_mediawiki28/index.php?title=Joost_Niemoller
Geoff Beacon;;own_page;convinced of agw;;;;http://ttnr.qprf.de/ccs_mediawiki28/index.php?title=Geoff_Beacon
Albert E. Pye;;own_page;unconvinced of agw;;;;http://ttnr.qprf.de/ccs_mediawiki28/index.php?title=Albert_E._Pye
Birgit Schneider;;own_page;convinced of agw;;;;http://ttnr.qprf.de/ccs_mediawiki28/index.php?title=Birgit_Schneider
L. Graham Smith;;own_page;unconvinced of agw;;;;http://ttnr.qprf.de/ccs_mediawiki28/index.php?title=L._Graham_Smith
Andrew Sullivan;;own_page;unconvinced of agw;;;;http://ttnr.qprf.de/ccs_mediawiki28/index.php?title=Andrew_Sullivan
Bojan Tunguz;;own_page;unconvinced of agw;;;;http://ttnr.qprf.de/ccs_mediawiki28/index.php?title=Bojan_Tunguz
Gordon Bonan;;own_page;;climate scientists;;;http://ttnr.qprf.de/ccs_mediawiki28/index.php?title=Gordon_Bonan
John E. Burkhalter;;own_page;unconvinced of agw;;;;http://ttnr.qprf.de/ccs_mediawiki28/index.php?title=John_E._Burkhalter
Mike Coffman;;own_page;unconvinced of agw;;;;http://ttnr.qprf.de/ccs_mediawiki28/index.php?title=Mike_Coffman
Joris De Leeuw;;own_page;unconvinced of agw;;;;http://ttnr.qprf.de/ccs_mediawiki28/index.php?title=Joris_De_Leeuw
Robert W. Durrenberger;;own_page;unconvinced of agw;;;;http://ttnr.qprf.de/ccs_mediawiki28/index.php?title=Robert_W._Durrenberger
Simon Filiatrault;;own_page;unconvinced of agw;;;;http://ttnr.qprf.de/ccs_mediawiki28/index.php?title=Simon_Filiatrault
Katya Georgieva;;own_page;unconvinced of agw;;;;http://ttnr.qprf.de/ccs_mediawiki28/index.php?title=Katya_Georgieva
Brian Anderson;;own_page;unconvinced of agw;;;;http://ttnr.qprf.de/ccs_mediawiki28/index.php?title=Brian_Anderson
Robert Gr̦zinger;;own_page;unconvinced of agw;;;;http://ttnr.qprf.de/ccs_mediawiki28/index.php?title=Robert_Gr%C3%B6zinger
Bob Inglis;;own_page;convinced of agw;;;;http://ttnr.qprf.de/ccs_mediawiki28/index.php?title=Bob_Inglis
Ralph F. Keeling;;own_page;convinced of agw;;;;http://ttnr.qprf.de/ccs_mediawiki28/index.php?title=Ralph_F._Keeling
Zbigniew Kundzewicz;;own_page;;scientists;;;http://ttnr.qprf.de/ccs_mediawiki28/index.php?title=Zbigniew_Kundzewicz
Gerrit J. van der Lingen;;own_page;unconvinced of agw;;;;http://ttnr.qprf.de/ccs_mediawiki28/index.php?title=Gerrit_J._van_der_Lingen
Val̩rie Masson-Delmotte;;own_page;convinced of agw;;;;http://ttnr.qprf.de/ccs_mediawiki28/index.php?title=Val%C3%A9rie_Masson-Delmotte
William Mitchell;;own_page;unconvinced of agw;;;;http://ttnr.qprf.de/ccs_mediawiki28/index.php?title=William_Mitchell
Richard Pauli;;own_page;convinced of agw;;;;http://ttnr.qprf.de/ccs_mediawiki28/index.php?title=Richard_Pauli
Kenneth V. Beard;;own_page;unconvinced of agw;;;;http://ttnr.qprf.de/ccs_mediawiki28/index.php?title=Kenneth_V._Beard
Louis L. Pytlewski;;own_page;unconvinced of agw;;;;http://ttnr.qprf.de/ccs_mediawiki28/index.php?title=Louis_L._Pytlewski
J̟rgen Roesicke;;own_page;unconvinced of agw;;;;http://ttnr.qprf.de/ccs_mediawiki28/index.php?title=J%C3%BCrgen_Roesicke
Michael Schneider;;own_page;unconvinced of agw;;;;http://ttnr.qprf.de/ccs_mediawiki28/index.php?title=Michael_Schneider
Lamar S. Smith;;own_page;unconvinced of agw;;;;http://ttnr.qprf.de/ccs_mediawiki28/index.php?title=Lamar_S._Smith
Gordon R. Sullivan;;own_page;convinced of agw;;;;http://ttnr.qprf.de/ccs_mediawiki28/index.php?title=Gordon_R._Sullivan
Richard Turco;;own_page;unconvinced of agw;;;;http://ttnr.qprf.de/ccs_mediawiki28/index.php?title=Richard_Turco
Alberte Bondeau;;own_page;;climate scientists;;;http://ttnr.qprf.de/ccs_mediawiki28/index.php?title=Alberte_Bondeau
H. Sterling Burnett;;own_page;unconvinced of agw;;;;http://ttnr.qprf.de/ccs_mediawiki28/index.php?title=H._Sterling_Burnett
Olivier Cogels;;own_page;unconvinced of agw;;;;http://ttnr.qprf.de/ccs_mediawiki28/index.php?title=Olivier_Cogels
Lucas de Lil;;own_page;unconvinced of agw;;;;http://ttnr.qprf.de/ccs_mediawiki28/index.php?title=Lucas_de_Lil
Felix Finkbeiner;;own_page;convinced of agw;;;;http://ttnr.qprf.de/ccs_mediawiki28/index.php?title=Felix_Finkbeiner
