org,org_country,continent,org_conviction,indiv,national,international,non_continental,continental,conenctivity_%,individuals with connections
new hope environmental services,usa,north america,unconvinced of agw,3,4,0,4,0,133.30000000000001,4
nipcc - suisse,switzerland,europe,unconvinced of agw,3,2,2,4,0,133.30000000000001,4
wise use movement,usa,north america,unconvinced of agw,3,2,0,2,0,66.7,2
bürgerinitiative für europa,germany,europe,,3,2,0,2,0,66.7,2
 fundación argentina de ecología científica,argentina,south america,,3,0,1,0,1,33.299999999999997,1
vdi,germany,europe,,3,0,0,0,0,0,0
zentrum für europäische wirtschaftsforschung,germany,europe,,3,0,0,0,0,0,0
"stichting wetenschap, milieu en beleid",netherlands,europe,unconvinced of agw,3,0,0,0,0,0,0
henstedt-ulzburg marketing,germany,europe,unconvinced of agw,3,0,0,0,0,0,0
naeb,germany,europe,unconvinced of agw,3,0,0,0,0,0,0
foundation history of totalitarian regimes and their victims,netherlands,europe,,3,0,0,0,0,0,0
européen pour la gestion raisonnée de l'environnement,france,europe,,3,0,0,0,0,0,0
ideal taxes association,usa,north america,unconvinced of agw,3,0,0,0,0,0,0
litigious society project,uk,europe,,3,0,0,0,0,0,0
minimal government thinkers,philippines,asia,unconvinced of agw,3,0,0,0,0,0,0
energiezukunft für deutschland e.v. i.g.,germany,europe,,3,0,0,0,0,0,0
alternate solutions institute,pakistan,asia,,3,0,0,0,0,0,0
klimarealistene,norway,europe,unconvinced of agw,3,0,0,0,0,0,0
green world trust,uk,europe,unconvinced of agw,3,0,0,0,0,0,0
civita,italy,europe,unconvinced of agw,3,0,0,0,0,0,0
bundesanstalt für geowissenschaften und rohstoffe,germany,europe,,3,0,0,0,0,0,0
climate realists network,new zealand,oceania,,3,0,0,0,0,0,0
climate science rapid response team,usa,north america,convinced of agw,3,0,0,0,0,0,0
consumers taxpayers association,australia,oceania,,2,5,0,4,1,250,5
free enterprise action fund,usa,north america,unconvinced of agw,2,3,0,3,0,150,3
eagle forum,usa,north america,unconvinced of agw,2,3,0,3,0,150,3
bürger für technik,germany,europe,unconvinced of agw,2,2,0,2,0,100,2
new zealand climate education trust,new zealand,oceania,unconvinced of agw,2,0,2,1,1,100,2
no cap-and-trade coalition,unknown,unknown,unconvinced of agw,2,0,2,0,2,100,2
freedom first society,usa,north america,unconvinced of agw,2,1,0,1,0,50,1
energy research centre of the netherlands,netherlands,europe,,2,1,0,1,0,50,1
taxpayers league of minnesota,usa,north america,unconvinced of agw,2,1,0,1,0,50,1
american energy freedom center,usa,north america,unconvinced of agw,2,1,0,1,0,50,1
planbureau voor de leefomgeving,netherlands,europe,convinced of agw,2,1,0,1,0,50,1
gkss,germany,europe,convinced of agw,2,0,0,0,0,0,0
federacion ecologia universal,usa,north america,convinced of agw,2,0,0,0,0,0,0
verbraucherzentrale bundesverband e.v.,germany,europe,convinced of agw,2,0,0,0,0,0,0
verband für gesundheits- und landschaftsschutz e. v.,germany,europe,unconvinced of agw,2,0,0,0,0,0,0
forecast the facts,usa,north america,convinced of agw,2,0,0,0,0,0,0
cambridge media and environment programme,uk,europe,convinced of agw,2,0,0,0,0,0,0
tba productions,unknown,unknown,unconvinced of agw,2,0,0,0,0,0,0
stockholm resilience centre,sweden,europe,convinced of agw,2,0,0,0,0,0,0
united states chamber of commerce,usa,north america,,2,0,0,0,0,0,0
union patroli europeenne independante,europe,europe,,2,0,0,0,0,0,0
ethical oil institute,canada,north america,,2,0,0,0,0,0,0
traditional values coalition,usa,north america,unconvinced of agw,2,0,0,0,0,0,0
the church of jesus christ of latter-day saints,global,global,,2,0,0,0,0,0,0
economic and social research institute,ireland,europe,,2,0,0,0,0,0,0
creation worldview ministries,usa,north america,unconvinced of agw,2,0,0,0,0,0,0
bürgerinitiative co2 endlager stoppen e.v.,germany,europe,,2,0,0,0,0,0,0
american institute of professional geologists,usa,north america,unconvinced of agw,2,0,0,0,0,0,0
request initiative,unknown,unknown,convinced of agw,2,0,0,0,0,0,0
just facts,uk,europe,unconvinced of agw,2,0,0,0,0,0,0
nationaal kritisch platform windenergie,netherlands,europe,unconvinced of agw,2,0,0,0,0,0,0
interacademy panel on international issues,unknown,unknown,convinced of agw,2,0,0,0,0,0,0
rettet die uckermark,germany,europe,,2,0,0,0,0,0,0
bastiat institute,global,global,unconvinced of agw,2,0,0,0,0,0,0
patriot action network,global,unknown,unconvinced of agw,2,0,0,0,0,0,0
partei der vernunft,germany,europe,unconvinced of agw,2,0,0,0,0,0,0
bund freiheit der wissenschaft,germany,europe,,2,0,0,0,0,0,0
institut coppet,france,europe,unconvinced of agw,2,0,0,0,0,0,0
institute for private enterprise,australia,unknown,unconvinced of agw,1,5,0,0,5,500,5
libres.org,france,europe,unconvinced of agw,1,2,3,4,1,500,5
americans survival,usa,north america,,1,3,0,3,0,300,3
center for the study of science,usa,north america,unconvinced of agw,1,1,1,1,1,200,2
world growth institute,australia,oceania,unconvinced of agw,1,1,1,1,1,200,2
league of the south,usa,north america,unconvinced of agw,1,2,0,2,0,200,2
stop gillards carbon tax,uk,europe,,1,0,2,0,2,200,2
climate outreach information network,uk,europe,convinced of agw,1,1,0,1,0,100,1
co2-coalition,usa,north america,convinced of agw,1,1,0,1,0,100,1
institute for biospheric research,usa,north america,unconvinced of agw,1,1,0,1,0,100,1
kerntechnische gesellschaft,germany,europe,,1,1,0,1,0,100,1
regular folks united,usa,north america,unconvinced of agw,1,1,0,1,0,100,1
positive weather solutions,uk,europe,unconvinced of agw,1,0,1,1,0,100,1
economic thinking,unknown,unknown,unconvinced of agw,1,0,1,0,1,100,1
environmental issues council,usa,north america,unconvinced of agw,1,0,1,0,1,100,1
environmental perspectives,usa,north america,unconvinced of agw,1,1,0,1,0,100,1
european independent institute,netherlands,europe,,1,1,0,1,0,100,1
forces nederland,netherlands,europe,,1,0,1,0,1,100,1
future of freedom foundation,usa,north america,unconvinced of agw,1,1,0,1,0,100,1
gesamtverband des deutschen steinkohlenbergbaus,germany,europe,unconvinced of agw,1,0,1,0,1,100,1
alliance for climate protection,usa,north america,convinced of agw,1,0,0,0,0,0,0
world federation of scientists,italy,europe,unconvinced of agw,1,0,0,0,0,0,0
ciima-eseade,argentina,south america,unconvinced of agw,1,0,0,0,0,0,0
christian broadcasting network,usa,north america,unconvinced of agw,1,0,0,0,0,0,0
american real science institute,usa,north america,unconvinced of agw,1,0,0,0,0,0,0
tsaugust,usa,north america,unconvinced of agw,1,0,0,0,0,0,0
arbeitsgemeinschaft energie und umwelt nrw,germany,europe,unconvinced of agw,1,0,0,0,0,0,0
uk climate impacts programme,uk,europe,convinced of agw,1,0,0,0,0,0,0
australian tea party,australia,oceania,unconvinced of agw,1,0,0,0,0,0,0
we are change holland,netherlands,europe,unconvinced of agw,1,0,0,0,0,0,0
wereld natuurbestrijdingsfonds,netherlands,europe,,1,0,0,0,0,0,0
calouste gulbenkian foundation,portugal,europe,,1,0,0,0,0,0,0
verenigde optimistische conservatieven 2100,netherlands,europe,unconvinced of agw,1,0,0,0,0,0,0
balanced education for everyone,unknown,unknown,unconvinced of agw,1,0,0,0,0,0,0
center for family and human rights,usa,north america,unconvinced of agw,1,0,0,0,0,0,0
united states environmental protection agency,usa,north america,convinced of agw,1,0,0,0,0,0,0
wikileaks,global,global,,1,0,0,0,0,0,0
association of american physicians and surgeons,usa,north america,,1,0,0,0,0,0,0
argo-verlag,germany,europe,unconvinced of agw,1,0,0,0,0,0,0
arbeitskreis energie der deutschen physikalischen gesellschaft,germany,europe,,1,0,0,0,0,0,0
annapolis institute,usa,north america,unconvinced of agw,1,0,0,0,0,0,0
the lord monckton foundation,australia,oceania,unconvinced of agw,1,0,0,0,0,0,0
office of medical and scientific justice,usa,north america,unconvinced of agw,1,0,0,0,0,0,0
comino foundation,uk,europe,unconvinced of agw,1,0,0,0,0,0,0
let freedom ring,unknown,unknown,unconvinced of agw,1,0,0,0,0,0,0
sauvons le climat,france,europe,convinced of agw,1,0,0,0,0,0,0
rundfunk berlin-brandenburg,germany,europe,,1,0,0,0,0,0,0
inter region economic network,kenya,africa,,1,0,0,0,0,0,0
international association of meteorology and atmospheric sciences,global,global,,1,0,0,0,0,0,0
liberty institute - india,india,asia,unconvinced of agw,1,0,0,0,0,0,0
the james partnership,unknown,unknown,unconvinced of agw,1,0,0,0,0,0,0
liberty university,usa,north america,unconvinced of agw,1,0,0,0,0,0,0
lm group,uk,europe,unconvinced of agw,1,0,0,0,0,0,0
manhattan libertarian party,usa,north america,unconvinced of agw,1,0,0,0,0,0,0
power for usa,usa,north america,unconvinced of agw,1,0,0,0,0,0,0
minnesota family council,usa,north america,unconvinced of agw,1,0,0,0,0,0,0
minnesota majority,usa,north america,unconvinced of agw,1,0,0,0,0,0,0
nestle,switzerland,europe,,1,0,0,0,0,0,0
industrial wind action group,usa,north america,,1,0,0,0,0,0,0
scottish climate energy forum,uk,europe,,1,0,0,0,0,0,0
hubbard broadcasting,usa,north america,unconvinced of agw,1,0,0,0,0,0,0
haus der zukunft berlin e.v.,germany,europe,unconvinced of agw,1,0,0,0,0,0,0
the hawthorn group,usa,north america,unconvinced of agw,1,0,0,0,0,0,0
corporate research project,global,global,convinced of agw,1,0,0,0,0,0,0
die bandbreite,germany,europe,,1,0,0,0,0,0,0
the climate community,usa,north america,convinced of agw,1,0,0,0,0,0,0
energy citizens,unknown,unknown,unconvinced of agw,1,0,0,0,0,0,0
epa abuse,unknown,unknown,unconvinced of agw,1,0,0,0,0,0,0
no carbon tax,unknown,unknown,unconvinced of agw,1,0,0,0,0,0,0
stairway press,usa,north america,unconvinced of agw,1,0,0,0,0,0,0
freedom foundation of minnesota,usa,north america,unconvinced of agw,1,0,0,0,0,0,0
gegenwind - für eine industriefreie nordsee e.v.,germany,europe,unconvinced of agw,1,0,0,0,0,0,0
gegenwind schleswig-holstein,germany,europe,unconvinced of agw,1,0,0,0,0,0,0
accuracy in academia,usa,north america,unconvinced of agw,1,0,0,0,0,0,0
